src,alt
//www.facebook.com/tr?id=292850974235854&ev=PageView&noscript=1,
https://static.politifact.com/CACHE/images/murphy_mammoth_copy/754cd4c10c8c44093309068e3542c7a1.jpg,
https://static.politifact.com/CACHE/images/politifact/mugs/Elon_Musk/d50faad08cda7bbd7dd969afe5f2429f.jpeg,
https://static.politifact.com/CACHE/images/politifact/mugs/Elon_Musk/8df03bfbd751cfd40656bb49396945af.jpeg,
https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/33efdb6633e5e2fdc2d4e2f63383a1e0.jpg.,false
https://static.politifact.com/politifact/rulings/meter-false.jpg,false
https://static.politifact.com/CACHE/images/politifact/mugs/768px-Instagram_logo_2016.svg/322c808c00e73c217d17772ddd5a0eb5.jpg,
https://static.politifact.com/CACHE/images/politifact/mugs/768px-Instagram_logo_2016.svg/8b142c91ebe468a84a192e6df2b7b994.jpg,
https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/33efdb6633e5e2fdc2d4e2f63383a1e0.jpg.,false
https://static.politifact.com/politifact/rulings/meter-false.jpg,false
https://static.politifact.com/CACHE/images/politifact/mugs/AP_17226541257169/3609eadbe8c3d501d1f980e99b555a16.jpg,
https://static.politifact.com/CACHE/images/politifact/mugs/AP_17226541257169/7e827ec8db097f82f85c1187cadb5934.jpg,
https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/6a6ef6075c162fdccf5eb960e683dcd1.jpg.,barely-true
https://static.politifact.com/politifact/rulings/meter-mostly-false.jpg,barely-true
https://static.politifact.com/CACHE/images/politifact/mugs/baldwin-new/e5f81dc43ebbfab7c9d9b56cfba2f398.jpg,
https://static.politifact.com/CACHE/images/politifact/mugs/baldwin-new/9fbc38bd9f4148c4e7374ecdd8d95da4.jpg,
https://static.politifact.com/CACHE/images/politifact/rulings/meter-true/3d4df195c595a07e3fd69b5e4aab3e3c.jpg.,true
https://static.politifact.com/politifact/rulings/meter-true.jpg,true
https://static.politifact.com/CACHE/images/politifact/mugs/AP_20213621526235/e70bd1143bd579f8ac726a6011f414eb.jpg,
https://static.politifact.com/CACHE/images/politifact/mugs/AP_20213621526235/73511740d87169c57086c003d8c2fa99.jpg,
https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/33efdb6633e5e2fdc2d4e2f63383a1e0.jpg.,false
https://static.politifact.com/politifact/rulings/meter-false.jpg,false
https://static.politifact.com/CACHE/images/politifact/mugs/AP_22010661643993_copy/cf65329348ec524491545e9199d42bf6.jpg,
https://static.politifact.com/CACHE/images/politifact/mugs/AP_22010661643993_copy/0a8e4e53fe7b9f07fc2afc59aed99dfb.jpg,
https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/33efdb6633e5e2fdc2d4e2f63383a1e0.jpg.,false
https://static.politifact.com/politifact/rulings/meter-false.jpg,false
https://static.politifact.com/CACHE/images/politifact/mugs/768px-Instagram_logo_2016.svg/322c808c00e73c217d17772ddd5a0eb5.jpg,
https://static.politifact.com/CACHE/images/politifact/mugs/768px-Instagram_logo_2016.svg/8b142c91ebe468a84a192e6df2b7b994.jpg,
https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/33efdb6633e5e2fdc2d4e2f63383a1e0.jpg.,false
https://static.politifact.com/politifact/rulings/meter-false.jpg,false
https://static.politifact.com/CACHE/images/politifact/mugs/AP_19138732015030/f9e320998ea9ce260bbf19125f796d9a.jpg,
https://static.politifact.com/CACHE/images/politifact/mugs/AP_19138732015030/6498825a244d1bc9382c3c1786d870fd.jpg,
